prediction_id,route,stop_name,licence,predicted_eta_min,actual_eta_min,accuracy_min,accuracy_percentage,prediction_time,actual_arrival_time
1762532527_10-1155_Phuket_Fantasea,Airport -> Rawai,Phuket Fantasea,10-1155,45,49.06,4.06,90.98,2025-11-07T23:22:07.314391,2025-11-08T00:11:10.961812
1762535470_10-1147_Andaman_Cannacia_Resort,Airport -> Rawai,Andaman Cannacia Resort,10-1147,17,22.57,5.57,67.26,2025-11-08T00:11:10.448282,2025-11-08T00:33:44.387842
1762566036_10-1204_Kalim_Bus_Stop,Airport -> Rawai,Kalim Bus Stop,10-1204,39,74.56,35.56,8.82,2025-11-08T08:40:36.441013,2025-11-08T09:55:10.024173
1762570509_10-1205_Kalim_Bus_Stop,Airport -> Rawai,Kalim Bus Stop,10-1205,17,16.69,-0.31,98.17,2025-11-08T09:55:09.353995,2025-11-08T10:11:50.701124
1762574689_10-1148_Karon_Stadium,Airport -> Rawai,Karon Stadium,10-1148,38,56.32,18.32,51.78,2025-11-08T11:04:49.095432,2025-11-08T12:01:08.544177
1762576335_10-1212_Surin_Beach,Airport -> Rawai,Surin Beach,10-1212,17,28.88,11.88,30.14,2025-11-08T11:32:15.972594,2025-11-08T12:01:08.566364
1762581673_10-1205_Big_C_Kamala,Rawai -> Airport,Big C Kamala,10-1205,15,17.5,2.5,83.32,2025-11-08T13:01:13.967179,2025-11-08T13:18:44.076858
1762584739_10-1210_Surin_Beach,Airport -> Rawai,Surin Beach,10-1210,1,5.29,4.29,-329.37,2025-11-08T13:52:19.304823,2025-11-08T13:57:36.928560
1762582723_10-1159_Secret_cliff_resort_,Airport -> Rawai,Secret cliff resort ,10-1159,30,54.79,24.79,17.37,2025-11-08T13:18:43.369125,2025-11-08T14:13:30.666729
1762589088_10-1209_Surin_Beach,Airport -> Rawai,Surin Beach,10-1209,19,20.51,1.51,92.04,2025-11-08T15:04:48.859855,2025-11-08T15:25:19.579934
1762589642_10-1209_Surin_Beach,Airport -> Rawai,Surin Beach,10-1209,10,11.29,1.29,87.1,2025-11-08T15:14:02.256981,2025-11-08T15:25:19.632831
1762590011_10-1149_Woraburi_Karon,Airport -> Rawai,Woraburi Karon,10-1149,8,8.22,0.22,97.31,2025-11-08T15:20:11.401855,2025-11-08T15:28:24.324696
1762590565_10-1196_Four_Point_Patong,Rawai -> Airport,Four Point Patong,10-1196,0,0.01,0.01,0.0,2025-11-08T15:29:25.352062,2025-11-08T15:29:26.077472
1762590380_10-1209_Kamala_Muslim_Cemetery,Airport -> Rawai,Kamala Muslim Cemetery,10-1209,4,5.14,1.14,71.58,2025-11-08T15:26:20.676101,2025-11-08T15:31:28.882207
1762591118_10-1159_Beyond_hotel_Kata,Rawai -> Airport,Beyond hotel Kata,10-1159,4,5.14,1.14,71.46,2025-11-08T15:38:38.883413,2025-11-08T15:43:47.379806
1762591303_10-1159_Peach_Blossom,Rawai -> Airport,Peach Blossom,10-1159,4,5.65,1.65,58.66,2025-11-08T15:41:43.566814,2025-11-08T15:47:22.775443
1762590749_10-1159_Karon_Stadium,Rawai -> Airport,Karon Stadium,10-1159,13,16.94,3.94,69.72,2025-11-08T15:32:29.839889,2025-11-08T15:49:26.001132
1762592412_10-1204_Diamond_Cliff_Resort_&_Spa,Airport -> Rawai,Diamond Cliff Resort & Spa,10-1204,11,10.31,-0.69,93.75,2025-11-08T16:00:12.118138,2025-11-08T16:10:30.869171
1762590934_10-1159_Patong_Bus_Stop,Rawai -> Airport,Patong Bus Stop,10-1159,27,40.09,13.09,51.51,2025-11-08T15:35:34.278312,2025-11-08T16:15:39.875850
1762593339_10-1151_Phuket_Airport,Airport -> Rawai,Phuket Airport,10-1151,0,0.01,0.01,0.0,2025-11-08T16:15:39.117170,2025-11-08T16:15:40.016971
1762593524_10-1151_Phuket_Airport,Airport -> Rawai,Phuket Airport,10-1151,0,0.01,0.01,0.0,2025-11-08T16:18:44.360368,2025-11-08T16:18:45.143104
1762592227_10-1204_Woraburi_Karon,Airport -> Rawai,Woraburi Karon,10-1204,34,46.36,12.36,63.64,2025-11-08T15:57:07.227928,2025-11-08T16:43:29.038224
1762593894_10-1149_Beyond_hotel_Kata,Rawai -> Airport,Beyond hotel Kata,10-1149,17,22.72,5.72,66.37,2025-11-08T16:24:54.137354,2025-11-08T16:47:37.126546
1762592042_10-1204_Beyond_hotel_Kata,Airport -> Rawai,Beyond hotel Kata,10-1204,45,61.32,16.32,63.72,2025-11-08T15:54:02.426732,2025-11-08T16:55:21.879673
1762594450_10-1204_Beyond_hotel_Kata,Airport -> Rawai,Beyond hotel Kata,10-1204,17,21.19,4.19,75.38,2025-11-08T16:34:10.845056,2025-11-08T16:55:21.953879
