licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1151,Airport -> Rawai,58,Holiday Inn Resort Patong,7169,,2025-12-01T11:12:17.690868,,2025-12-01T11:27:55.854151,,2025-12-01T11:22:04.940511,,,,,,,,,,,,,
10-1151,Airport -> Rawai,59,Secret cliff resort ,7899,2025-12-01T11:37:46.640447,2025-12-01T11:20:17.690868,17.48,2025-12-01T11:35:55.854151,1.85,2025-12-01T11:30:04.940511,7.69,,,,,,,,,,,,
10-1151,Airport -> Rawai,60,Karon Circle,8431,2025-12-01T11:43:50.036816,2025-12-01T11:24:17.690868,19.54,2025-12-01T11:40:55.854151,2.9,2025-12-01T11:34:04.940511,9.75,,,,,,,,,,,,
10-1151,Airport -> Rawai,61,Woraburi Karon,8523,2025-12-01T11:44:50.549631,2025-12-01T11:26:17.690868,18.55,2025-12-01T11:41:55.854151,2.91,2025-12-01T11:36:04.940511,8.76,,,,,,,,,,,,
10-1151,Airport -> Rawai,62,Karon Stadium,8823,2025-12-01T11:48:52.902073,2025-12-01T11:29:17.690868,19.59,2025-12-01T11:44:55.854151,3.95,2025-12-01T11:39:04.940511,9.8,,,,,,,,,,,,
10-1151,Airport -> Rawai,63,OZO Phuket,8979,2025-12-01T11:51:54.714381,2025-12-01T11:31:17.690868,20.62,2025-12-01T11:46:55.854151,4.98,2025-12-01T11:41:04.940511,10.83,,,,,,,,,,,,
10-1151,Airport -> Rawai,64,Kata Palm,9111,2025-12-01T11:53:55.848501,2025-12-01T11:33:17.690868,20.64,2025-12-01T11:48:55.854151,5.0,2025-12-01T11:43:04.940511,10.85,,,,,,,,,,,,
10-1151,Airport -> Rawai,65,Beyond hotel Kata,9157,2025-12-01T11:57:58.454556,2025-12-01T11:34:17.690868,23.68,2025-12-01T11:49:55.854151,8.04,2025-12-01T11:44:04.940511,13.89,,,,,,,,,,,,
10-1151,Airport -> Rawai,66,Andaman Cannacia Resort,9327,2025-12-01T12:05:32.762804,2025-12-01T11:36:17.690868,29.25,2025-12-01T11:51:55.854151,13.62,2025-12-01T11:46:04.940511,19.46,,,,,,,,,,,,
10-1151,Airport -> Rawai,67,Sai Yuan,10247,2025-12-01T12:13:37.555893,2025-12-01T11:44:17.690868,29.33,2025-12-01T12:00:55.854151,12.7,2025-12-01T11:54:04.940511,19.54,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,70,Satree Phuket School,2019,2025-12-01T16:54:36.442676,2025-12-01T10:15:17.691285,399.31,2025-12-01T16:46:57.440690,7.65,2025-12-01T16:52:05.021228,2.52,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,71,Phuket Wittayalai School,2111,2025-12-01T17:01:40.592946,2025-12-01T10:16:17.691285,405.38,2025-12-01T16:47:57.440690,13.72,2025-12-01T16:53:05.021228,8.59,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,72,Vachira Phuket Hospital,2334,2025-12-01T17:03:42.172976,2025-12-01T10:20:17.691285,403.41,2025-12-01T16:51:57.440690,11.75,2025-12-01T16:57:05.021228,6.62,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,73,Bangkok Hospital Phuket,2559,2025-12-01T10:27:36.421758,2025-12-01T10:23:17.691285,4.31,2025-12-01T16:54:57.440690,,2025-12-01T17:00:05.021228,,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,74,Chillva Market,2715,2025-12-01T17:13:52.842649,2025-12-01T10:25:17.691285,408.59,2025-12-01T16:56:57.440690,16.92,2025-12-01T17:02:05.021228,11.8,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,75,Lotus Samkong,2809,2025-12-01T17:15:54.736409,2025-12-01T10:26:17.691285,409.62,2025-12-01T16:57:57.440690,17.95,2025-12-01T17:03:05.021228,12.83,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,76,Andamanda Phuket Waterpark,2935,2025-12-01T17:19:27.935301,2025-12-01T10:28:17.691285,411.17,2025-12-01T10:31:38.059644,407.83,2025-12-01T17:04:05.021228,15.38,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,77,Kathu Fresh Market,3266,2025-12-01T17:21:29.841355,2025-12-01T10:30:17.691285,411.2,2025-12-01T10:34:38.059644,406.86,2025-12-01T17:07:05.021228,14.41,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,78,PTT Station Kathu,3459,2025-12-01T17:25:33.675665,2025-12-01T10:32:17.691285,413.27,2025-12-01T10:36:38.059644,408.93,2025-12-01T17:09:05.021228,16.48,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,79,Siko,3649,2025-12-01T17:27:35.850024,2025-12-01T10:34:17.691285,413.3,2025-12-01T10:38:38.059644,408.96,2025-12-01T17:11:05.021228,16.51,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,80,Kathu Police Station,3736,2025-12-01T17:31:39.769870,2025-12-01T10:35:17.691285,416.37,2025-12-01T10:39:38.059644,412.03,2025-12-01T17:12:05.021228,19.58,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,81,Coffee Mania,4922,2025-12-01T14:55:03.039092,2025-12-01T10:52:17.691285,242.76,2025-12-01T10:56:38.059644,238.42,2025-12-01T10:59:45.443568,235.29,2025-12-01T11:04:23.729887,230.66,,,,,,,,,,
